ancienne_url;nouvelle_url_relative;type
https://www.bassin-aubenas.fr/actualites/cinema-sous-les-etoiles-le-programme-de-lete-2025/;/actualites/cinema-sous-les-etoiles-le-programme-de-lete-2025/;301
https://www.bassin-aubenas.fr/actualites/collecte-dechets-rattrapage-jours-feries-decembre-2024-janvier-2025/;/actualites/collecte-dechets-rattrapage-jours-feries-decembre-2024-janvier-2025/;301
https://www.bassin-aubenas.fr/actualites/collecte-dechets-rattrapage-jours-feries-novembre-2024/;/actualites/collecte-dechets-rattrapage-jours-feries-novembre-2024/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-du-14-juillet-2023/;/actualites/collecte-des-dechets-du-14-juillet-2023/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-du-18-mai-2023/;/actualites/collecte-des-dechets-du-18-mai-2023/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-du-1er-et-8-mai/;/actualites/collecte-des-dechets-du-1er-et-8-mai/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-du-1er-novembre/;/actualites/collecte-des-dechets-du-1er-novembre/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-du-29-mai-2023/;/actualites/collecte-des-dechets-du-29-mai-2023/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-du-jeudi-15-aout-2024/;/actualites/collecte-des-dechets-du-jeudi-15-aout-2024/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-novembre-2022/;/actualites/collecte-des-dechets-novembre-2022/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-rattrapage-jour-ferie/;/actualites/collecte-des-dechets-rattrapage-jour-ferie/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-rattrapages-des-jours-feries-2/;/actualites/collecte-des-dechets-rattrapages-des-jours-feries-2/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-dechets-rattrapages-des-jours-feries/;/actualites/collecte-des-dechets-rattrapages-des-jours-feries/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-sapins-du-6-au-10-janvier-2025/;/actualites/collecte-des-sapins-du-6-au-10-janvier-2025/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-sapins-du-8-au-12-janvier-2024/;/actualites/collecte-des-sapins-du-8-au-12-janvier-2024/;301
https://www.bassin-aubenas.fr/actualites/collecte-des-sapins-du-9-au-13-janvier-2023/;/actualites/collecte-des-sapins-du-9-au-13-janvier-2023/;301
https://www.bassin-aubenas.fr/actualites/collecte-sapins-2026/;/actualites/collecte-sapins-2026/;301
https://www.bassin-aubenas.fr/actualites/comment-travaille-la-poste-pendant-le-confinement/;/actualites/comment-travaille-la-poste-pendant-le-confinement/;301
https://www.bassin-aubenas.fr/actualites/commission-intercommunale-daccessibilite/;/actualites/commission-intercommunale-daccessibilite/;301
https://www.bassin-aubenas.fr/actualites/concours-photos-2026-arbres-emblematiques-du-roc-de-gourdon-et-des-contreforts-du-coiron/;/actualites/concours-photos-2026-arbres-emblematiques-du-roc-de-gourdon-et-des-con/;301
https://www.bassin-aubenas.fr/actualites/concours-propulse-ton-entreprise-les-9-10-avril-2025/;/actualites/concours-propulse-ton-entreprise-les-9-10-avril-2025/;301
https://www.bassin-aubenas.fr/actualites/conferences-apprivoiser-les-ecrans/;/actualites/conferences-apprivoiser-les-ecrans/;301
